#https://data.marine.copernicus.eu/viewer/expert?view=dataset&dataset=SEALEVEL_EUR_PHY_L4_MY_008_068
#Surface geostrophic northward sea water velocity vgos
#    title: DT merged all satellites European Seas Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
#    institution: CLS, CNES
#    source: Altimetry measurements
#    history: 2024-10-24 07:06:58Z: Creation
#    contact: servicedesk.cmems@mercator-ocean.eu
#    references: http://marine.copernicus.eu
#    comment: Sea Surface Height measured by Altimetry and derived variables
#    subset:source: ARCO data downloaded from the Marine Data Store using the MyOcean Data Portal
#    subset:productId: SEALEVEL_EUR_PHY_L4_MY_008_068
#    subset:datasetId: cmems_obs-sl_eur_phy-ssh_my_allsat-l4-duacs-0.0625deg_P1D_202411
#    subset:date: 2025-06-10T12:16:10.165Z
#latitudes averaged over 43.34375, 43.40625.
#longitudes averaged over 7.84375, 7.90625.
# coriolis_parameter = 2*(7.2921e-5)*np.sin((4.33666670E+01)*180/2*np.pi)
# density_sea_water = 1023.6
# dpdy = coriolis_parameter*density_sea_water*vgos
#date	vgos	dpdy
1993-01-01 00:00:00	-0.131875008	0.000001855
1993-01-02 00:00:00	-0.133825004	0.000001883
1993-01-03 00:00:00	-0.136000007	0.000001913
1993-01-04 00:00:00	-0.136500001	0.000001921
1993-01-05 00:00:00	-0.137474999	0.000001934
1993-01-06 00:00:00	-0.138650000	0.000001951
1993-01-07 00:00:00	-0.139375001	0.000001961
1993-01-08 00:00:00	-0.141050011	0.000001985
1993-01-09 00:00:00	-0.142549992	0.000002006
1993-01-10 00:00:00	-0.143999994	0.000002026
1993-01-11 00:00:00	-0.144724995	0.000002036
1993-01-12 00:00:00	-0.145925000	0.000002053
1993-01-13 00:00:00	-0.145699993	0.000002050
1993-01-14 00:00:00	-0.144250005	0.000002030
1993-01-15 00:00:00	-0.142049998	0.000001999
1993-01-16 00:00:00	-0.139149994	0.000001958
1993-01-17 00:00:00	-0.135049999	0.000001900
1993-01-18 00:00:00	-0.130199999	0.000001832
1993-01-19 00:00:00	-0.125825003	0.000001770
1993-01-20 00:00:00	-0.120999999	0.000001702
1993-01-21 00:00:00	-0.114900000	0.000001617
1993-01-22 00:00:00	-0.110075004	0.000001549
1993-01-23 00:00:00	-0.104499996	0.000001470
1993-01-24 00:00:00	-0.098425001	0.000001385
1993-01-25 00:00:00	-0.091875002	0.000001293
1993-01-26 00:00:00	-0.085574999	0.000001204
1993-01-27 00:00:00	-0.078799993	0.000001109
1993-01-28 00:00:00	-0.072999999	0.000001027
1993-01-29 00:00:00	-0.066700004	0.000000938
1993-01-30 00:00:00	-0.062100001	0.000000874
1993-01-31 00:00:00	-0.057725001	0.000000812
1993-02-01 00:00:00	-0.055050001	0.000000775
1993-02-02 00:00:00	-0.053874999	0.000000758
1993-02-03 00:00:00	-0.054350000	0.000000765
1993-02-04 00:00:00	-0.056299999	0.000000792
1993-02-05 00:00:00	-0.058950000	0.000000829
1993-02-06 00:00:00	-0.063075006	0.000000887
1993-02-07 00:00:00	-0.066699997	0.000000938
1993-02-08 00:00:00	-0.072274998	0.000001017
1993-02-09 00:00:00	-0.078099996	0.000001099
1993-02-10 00:00:00	-0.083425000	0.000001174
1993-02-11 00:00:00	-0.088750005	0.000001249
1993-02-12 00:00:00	-0.094325006	0.000001327
1993-02-13 00:00:00	-0.099200003	0.000001396
1993-02-14 00:00:00	-0.104774997	0.000001474
1993-02-15 00:00:00	-0.109375000	0.000001539
1993-02-16 00:00:00	-0.114425004	0.000001610
1993-02-17 00:00:00	-0.119075000	0.000001675
1993-02-18 00:00:00	-0.123649999	0.000001740
1993-02-19 00:00:00	-0.127274990	0.000001791
1993-02-20 00:00:00	-0.131125003	0.000001845
1993-02-21 00:00:00	-0.134299994	0.000001890
1993-02-22 00:00:00	-0.136724994	0.000001924
1993-02-23 00:00:00	-0.138174996	0.000001944
1993-02-24 00:00:00	-0.140125006	0.000001972
1993-02-25 00:00:00	-0.140825003	0.000001981
1993-02-26 00:00:00	-0.141825005	0.000001995
1993-02-27 00:00:00	-0.140349999	0.000001975
1993-02-28 00:00:00	-0.139149994	0.000001958
1993-03-01 00:00:00	-0.135975003	0.000001913
1993-03-02 00:00:00	-0.130674988	0.000001839
1993-03-03 00:00:00	-0.124150001	0.000001747
1993-03-04 00:00:00	-0.115649998	0.000001627
1993-03-05 00:00:00	-0.107175000	0.000001508
1993-03-06 00:00:00	-0.096974999	0.000001364
1993-03-07 00:00:00	-0.085824996	0.000001208
1993-03-08 00:00:00	-0.075449996	0.000001062
1993-03-09 00:00:00	-0.065750003	0.000000925
1993-03-10 00:00:00	-0.057500001	0.000000809
1993-03-11 00:00:00	-0.049975000	0.000000703
1993-03-12 00:00:00	-0.044174999	0.000000622
1993-03-13 00:00:00	-0.039075002	0.000000550
1993-03-14 00:00:00	-0.034724999	0.000000489
1993-03-15 00:00:00	-0.031325001	0.000000441
1993-03-16 00:00:00	-0.028200001	0.000000397
1993-03-17 00:00:00	-0.025274999	0.000000356
1993-03-18 00:00:00	-0.022150001	0.000000312
1993-03-19 00:00:00	-0.020199999	0.000000284
1993-03-20 00:00:00	-0.018750001	0.000000264
1993-03-21 00:00:00	-0.017000001	0.000000239
1993-03-22 00:00:00	-0.016075000	0.000000226
1993-03-23 00:00:00	-0.014850001	0.000000209
1993-03-24 00:00:00	-0.013900000	0.000000196
1993-03-25 00:00:00	-0.013374999	0.000000188
1993-03-26 00:00:00	-0.012674999	0.000000178
1993-03-27 00:00:00	-0.013625000	0.000000192
1993-03-28 00:00:00	-0.014625001	0.000000206
1993-03-29 00:00:00	-0.016775001	0.000000236
1993-03-30 00:00:00	-0.019950001	0.000000281
1993-03-31 00:00:00	-0.023800001	0.000000335
1993-04-01 00:00:00	-0.027450001	0.000000386
1993-04-02 00:00:00	-0.033025000	0.000000465
1993-04-03 00:00:00	-0.037875000	0.000000533
1993-04-04 00:00:00	-0.043449998	0.000000611
1993-04-05 00:00:00	-0.048300002	0.000000680
1993-04-06 00:00:00	-0.053624999	0.000000754
1993-04-07 00:00:00	-0.057975002	0.000000816
1993-04-08 00:00:00	-0.062349997	0.000000877
1993-04-09 00:00:00	-0.065949999	0.000000928
1993-04-10 00:00:00	-0.067924999	0.000000956
1993-04-11 00:00:00	-0.069375001	0.000000976
1993-04-12 00:00:00	-0.069125004	0.000000973
1993-04-13 00:00:00	-0.068149999	0.000000959
1993-04-14 00:00:00	-0.065274999	0.000000918
1993-04-15 00:00:00	-0.060424998	0.000000850
1993-04-16 00:00:00	-0.054825000	0.000000771
1993-04-17 00:00:00	-0.048025001	0.000000676
1993-04-18 00:00:00	-0.040300000	0.000000567
1993-04-19 00:00:00	-0.032049999	0.000000451
1993-04-20 00:00:00	-0.024075001	0.000000339
1993-04-21 00:00:00	-0.015100000	0.000000212
1993-04-22 00:00:00	-0.008300000	0.000000117
1993-04-23 00:00:00	0.000175000	-0.000000002
1993-04-24 00:00:00	0.007200000	-0.000000101
1993-04-25 00:00:00	0.014225001	-0.000000200
1993-04-26 00:00:00	0.021500001	-0.000000302
1993-04-27 00:00:00	0.027325001	-0.000000384
1993-04-28 00:00:00	0.033600003	-0.000000473
1993-04-29 00:00:00	0.039874997	-0.000000561
1993-04-30 00:00:00	0.045724999	-0.000000643
1993-05-01 00:00:00	0.049599998	-0.000000698
1993-05-02 00:00:00	0.053475000	-0.000000752
1993-05-03 00:00:00	0.057574999	-0.000000810
1993-05-04 00:00:00	0.061249997	-0.000000862
1993-05-05 00:00:00	0.064875007	-0.000000913
1993-05-06 00:00:00	0.067249998	-0.000000946
1993-05-07 00:00:00	0.070199996	-0.000000988
1993-05-08 00:00:00	0.073575005	-0.000001035
1993-05-09 00:00:00	0.076975003	-0.000001083
1993-05-10 00:00:00	0.078424998	-0.000001103
1993-05-11 00:00:00	0.079374999	-0.000001117
1993-05-12 00:00:00	0.079624996	-0.000001120
1993-05-13 00:00:00	0.078900002	-0.000001110
1993-05-14 00:00:00	0.076975003	-0.000001083
1993-05-15 00:00:00	0.072850004	-0.000001025
1993-05-16 00:00:00	0.068499997	-0.000000964
1993-05-17 00:00:00	0.064374998	-0.000000906
1993-05-18 00:00:00	0.058300003	-0.000000820
1993-05-19 00:00:00	0.052500002	-0.000000739
