#https://data.marine.copernicus.eu/viewer/expert?view=dataset&dataset=SEALEVEL_EUR_PHY_L4_MY_008_068
#Surface geostrophic eastward sea water velocity ugos
#    title: DT merged all satellites European Seas Gridded SSALTO/DUACS Sea Surface Height L4 product and derived variables
#    institution: CLS, CNES
#    source: Altimetry measurements
#    history: 2024-10-24 07:06:58Z: Creation
#    contact: servicedesk.cmems@mercator-ocean.eu
#    references: http://marine.copernicus.eu
#    comment: Sea Surface Height measured by Altimetry and derived variables
#    subset:source: ARCO data downloaded from the Marine Data Store using the MyOcean Data Portal
#    subset:productId: SEALEVEL_EUR_PHY_L4_MY_008_068
#    subset:datasetId: cmems_obs-sl_eur_phy-ssh_my_allsat-l4-duacs-0.0625deg_P1D_202411
#    subset:date: 2025-06-10T12:16:10.165Z
#latitudes averaged over 43.34375, 43.40625.
#longitudes averaged over 7.84375, 7.90625.
# coriolis_parameter = 2*(7.2921e-5)*np.sin((4.33666670E+01)*180/2*np.pi)
# density_sea_water = 1023.6
# dpdx = coriolis_parameter*density_sea_water*ugos
#date	ugos	dpdx
1993-01-01 00:00:00	-0.034125000	0.000000480
1993-01-02 00:00:00	-0.035350002	0.000000497
1993-01-03 00:00:00	-0.035525002	0.000000500
1993-01-04 00:00:00	-0.036224999	0.000000510
1993-01-05 00:00:00	-0.036399998	0.000000512
1993-01-06 00:00:00	-0.035875000	0.000000505
1993-01-07 00:00:00	-0.035174999	0.000000495
1993-01-08 00:00:00	-0.034125000	0.000000480
1993-01-09 00:00:00	-0.032900002	0.000000463
1993-01-10 00:00:00	-0.031824999	0.000000448
1993-01-11 00:00:00	-0.030225001	0.000000425
1993-01-12 00:00:00	-0.028999999	0.000000408
1993-01-13 00:00:00	-0.027424999	0.000000386
1993-01-14 00:00:00	-0.026374999	0.000000371
1993-01-15 00:00:00	-0.024625000	0.000000346
1993-01-16 00:00:00	-0.022849999	0.000000321
1993-01-17 00:00:00	-0.020199999	0.000000284
1993-01-18 00:00:00	-0.017224999	0.000000242
1993-01-19 00:00:00	-0.014950000	0.000000210
1993-01-20 00:00:00	-0.011775000	0.000000166
1993-01-21 00:00:00	-0.008800000	0.000000124
1993-01-22 00:00:00	-0.004875000	0.000000069
1993-01-23 00:00:00	-0.000850000	0.000000012
1993-01-24 00:00:00	0.002675000	-0.000000038
1993-01-25 00:00:00	0.006175000	-0.000000087
1993-01-26 00:00:00	0.008975000	-0.000000126
1993-01-27 00:00:00	0.011150000	-0.000000157
1993-01-28 00:00:00	0.011325000	-0.000000159
1993-01-29 00:00:00	0.010400000	-0.000000146
